Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year,Continent
Belarus,141.47,44.64,76.47,58.01,33.12,14.27,28.78,40.97,64.37,2019,Europe
Romania,140.31,61.16,72.16,54.49,36.45,10.15,34.36,55.39,77.62,2019,Europe
Greece,137.82,49.57,61.43,55.16,56.66,9.84,32.2,51.86,94.18,2019,Europe
South Africa,135.31,82.97,23.2,62.56,42.49,4.11,40.33,56.95,95.97,2019,Africa
Hungary,134.47,54.66,64.83,48.24,42.03,12.58,35.17,46.47,78.74,2019,Europe
Taiwan,133.82,56.36,82.62,86.22,59.84,28.91,30.9,63.47,84.38,2019,Asia
Bulgaria,130.59,52.18,60,54.04,37.17,8.72,28.79,63.98,82.76,2019,Europe
Turkey,125.51,45.33,59.62,69.36,35.21,9.26,44.77,69.15,93.26,2019,Asia
Bosnia And Herzegovina,124.51,49.18,56.21,53.2,35.72,12.28,26.43,63.47,80.48,2019,Europe
Chile,124.14,54.13,53.19,65.5,47.73,13.51,36.79,65.54,90.21,2019,Americas
Mexico,123.48,49.98,47.7,69.72,32.71,10.19,39.08,66.02,86.29,2019,Americas
Argentina,122.49,55,37.45,69.39,33.09,19.02,43.04,52.35,98.28,2019,Americas
Malaysia,122.11,73.14,39.21,67.61,39.38,9.77,35.25,63.74,60.1,2019,Asia
Georgia,120.9,33.19,80.14,51.29,28.78,12.67,34.34,72.46,84.2,2019,Asia
Serbia,119.83,39.9,62.73,52.56,35.39,18.62,29.74,58.86,83.23,2019,Europe
India,117.51,66.91,57.28,68.32,24.17,11.33,45.71,75.81,65.74,2019,Asia
Panama,113.12,41.34,53.57,61.41,51.45,12.67,36.48,62,67.84,2019,Americas
Jordan,112.94,41.73,56.18,66.12,54.98,7.67,42.43,80.39,89.05,2019,Asia
Lebanon,111.21,53.97,55.73,65.9,58.06,13.44,37.36,87.39,94.74,2019,Asia
North Macedonia,110.64,39.83,60.71,58.98,31.58,13.65,27.94,80.85,76.3,2019,Europe
Colombia,108.36,34.66,48.74,67.51,30.15,18.85,45.06,61.74,86.04,2019,Americas
Indonesia,107.2,32.95,53.99,61.98,36.24,13.81,42.93,62.78,68.96,2019,Asia
Russian Federation,104.94,45.38,58.07,57.63,35.52,12.39,46,62.8,46.53,2019,Europe
Pakistan,104.63,38.61,53.27,60.58,20.4,14.06,38.63,75.89,72.99,2019,Asia
Thailand,103.26,40.86,53.34,79.06,47.54,21.94,39.4,72.21,69.45,2019,Asia
Ukraine,102.34,32.72,51.12,50.95,27.94,14.35,37.36,66.63,70.69,2019,Europe
Hong Kong,100.9,69.34,80.68,67.35,78.14,49.42,41,66.39,83.64,2019,Asia
Brazil,100.33,37.43,29.76,54.64,42.8,18.72,43.37,57.72,95.35,2019,Americas
China,97.92,68.95,54.54,64.03,39.24,29.09,42.46,81.91,78.91,2019,Asia
Sri Lanka,95.3,27.34,58.97,72.3,30.24,26.32,51.9,57.69,59.11,2019,Asia
Philippines,90.73,29.46,59.17,65.87,35.09,21.83,44.15,74.47,60.23,2019,Asia
Vietnam,88.82,33.33,51.22,54.54,37.7,19.66,28.33,87.13,71.24,2019,Asia
Kazakhstan,87.17,38.83,33.49,51.27,29.83,11.51,29.75,74.25,39.78,2019,Asia
Iran,87.02,37.74,50.67,51.18,35.8,16.87,48.38,79.35,70.99,2019,Asia
Egypt,83.98,23.67,49.29,44.22,26.46,13.6,49.17,86.48,91.98,2019,Africa
Denmark,197.75,117.53,77.98,77.07,93.3,7.22,28.53,23.6,82.42,2018,Europe
Finland,195.3,119.42,76.3,75.4,81.7,7.49,33.23,12.07,58.63,2018,Europe
Netherlands,191.25,109.48,71.06,81.08,82.69,6.74,32.73,27.16,86.93,2018,Europe
Switzerland,190.81,126.15,78.24,71.73,131.39,10.94,29.28,23.01,79.78,2018,Europe
Austria,190.22,98.69,79.59,78.8,81.47,9.58,27.02,22.87,77.74,2018,Europe
Germany,190.04,125.01,63.35,75.44,74.35,8.05,31.25,27.32,82.53,2018,Europe
Australia,188.7,122.98,57.45,76.21,84.3,7.41,36.32,24.76,92.41,2018,Oceania
New Zealand,182.4,98.61,60.85,71.95,83.41,8.18,34.48,21.77,96.1,2018,Oceania
United States of America,180.56,127.62,50.42,68.38,72.95,3.34,34.74,31.7,78.23,2018,Americas
Sweden,176.81,113.01,50.74,70.42,83.7,10.52,30.68,19.1,75.08,2018,Europe
Estonia,176.44,74.82,79.17,71.35,57.65,9.24,32.73,17.17,63.61,2018,Europe
Norway,176.27,107.95,56.67,74.66,113.7,8.71,31.04,20.22,71.89,2018,Europe
Japan,176.04,107.35,86.9,81.72,86.58,12.64,44.48,41.66,84.82,2018,Asia
Slovenia,175.36,80.33,75.29,64.69,59.65,8.38,27.78,26.25,76.3,2018,Europe
Spain,174.92,90.67,63.26,77.49,61.75,8,31.42,38.11,93.94,2018,Europe
Canada,173.9,118.92,60.72,70.58,72.48,6.12,36.07,27.7,52.82,2018,Americas
United Kingdom,171.89,108.54,58.8,74.19,75.85,9.31,35.75,37.71,87.92,2018,Europe
Portugal,166.71,61.97,65.46,69.5,55.86,10.01,30.28,30.53,97.45,2018,Europe
France,166.22,101.21,54.71,78.03,83.86,9.93,35.03,40.41,89.8,2018,Europe
Belgium,164,98.91,57.83,80.43,83.35,7.1,34.63,48.92,86.14,2018,Europe
United Arab Emirates,163.54,124.78,81.25,63.48,67.21,4.88,37.49,55.78,45.43,2018,Asia
Ireland,163.53,96.1,56.18,53.02,85.45,7.63,37.47,28.66,89.43,2018,Europe
Taiwan,163.28,106.38,79.26,82,65.42,14.35,33.15,63.25,83.79,2018,Asia
Croatia,162.36,59.77,73,63.83,55.06,11.09,29.55,32.73,88.83,2018,Europe
Czech Republic,162.01,76.35,71.19,75.36,50.09,12.73,30.3,41.02,77.87,2018,Europe
Qatar,159.62,125.05,84.3,70.5,65.37,5.15,34.78,70.24,45.48,2018,Asia
South Korea,155.38,109.36,64.17,83.4,82.94,14.05,37.24,52.87,67.2,2018,Asia
Slovakia,155.37,67.29,69.85,64.42,50.41,9.88,32.17,40.67,77.66,2018,Europe
Israel,152.25,102.3,63.1,74.05,86.53,13.85,36.73,60.27,93.61,2018,Asia
Singapore,150.45,95.89,83.77,69.61,91.4,22.2,45.99,33.94,57.99,2018,Asia
Saudi Arabia,149.58,131.46,63.31,60.19,47.86,2.79,34.01,71.72,41.02,2018,Asia
Lithuania,148.98,57.29,62.41,66.81,53.24,13.02,28.69,33.14,68.76,2018,Europe
Poland,146.58,74.42,63.77,62.08,45.2,9.77,33.6,51.12,75.8,2018,Europe
Italy,146.13,81.07,55.47,68.01,79.06,9.88,37.01,53.11,91.38,2018,Europe
Romania,144.05,66.2,70.96,54.56,39.71,9.1,33.4,53.04,76.19,2018,Europe
South Africa,137.89,99.83,24.29,62.96,48.05,3.49,43.26,62.15,95.98,2018,Africa
Greece,137.43,53.8,60.93,54.18,63.15,9.46,32.16,52.85,92.58,2018,Europe
Hungary,132.31,50.62,63.49,51.09,48.6,13.32,34.12,46.57,78.51,2018,Europe
Argentina,131.85,60.15,38.21,71.31,53.74,10.68,41.55,53.64,98.22,2018,Americas
Bulgaria,129.69,54.44,60.3,52.11,41.21,8.58,31.12,63.03,81.58,2018,Europe
Bosnia And Herzegovina,129.33,52.4,59.95,55.9,39.26,11.56,27.48,61.56,78.89,2018,Europe
Turkey,127.64,53.78,58.94,70.42,41.8,8.95,46.29,69.44,93.16,2018,Asia
Mexico,126.42,58.18,48.95,68.62,33.56,7.8,42.03,66.13,82.49,2018,Americas
Serbia,123.48,41.81,62.24,53.42,39.59,17.22,28.95,56.58,82.93,2018,Europe
Chile,122.73,54.53,53.52,61.9,55.24,13.09,35.07,66.79,90.21,2018,Americas
India,122.09,79.27,55.84,67.39,26.88,9.73,46.76,75.89,65.68,2018,Asia
Malaysia,116.05,72.98,36.95,65.64,44.73,9.62,37.6,66.52,58.11,2018,Asia
Indonesia,112.89,37.49,55.28,65.95,39.74,13.07,42.75,60.66,68.19,2018,Asia
Colombia,112.15,38.59,49.34,67.8,35.29,18.09,48.1,62.47,96.72,2018,Americas
Hong Kong,110.28,82.86,79.1,63.81,78.72,41.08,41.26,69.35,83.64,2018,Asia
Russian Federation,103.32,51.11,54.8,56.77,43.89,11.44,48.26,63.26,44.7,2018,Europe
Thailand,101.18,38.59,52.75,80.87,48.91,22.78,39.21,72.86,68.64,2018,Asia
Pakistan,100.35,41.11,48.77,57.47,25.08,12.48,41.55,77.5,71.9,2018,Asia
Brazil,100.13,41.55,29.45,52.65,51.33,16.26,45.27,59.48,94.23,2018,Americas
China,99.43,72.28,60.56,62.88,44.56,28.2,42.55,85.89,78.81,2018,Asia
Philippines,99.11,34.02,59.87,68.22,35.99,17.84,44.24,72.55,60.63,2018,Asia
Ukraine,95.96,30.24,50.61,50.11,25.98,18.21,38.5,67.24,70.2,2018,Europe
Iran,92.43,45.6,50.6,51.22,34.56,12.45,49.46,81.21,69.54,2018,Asia
Egypt,84.42,24.67,46.28,44.42,25.69,12.68,46.69,87.64,91.98,2018,Africa
Vietnam,81.09,30.09,47.78,52.45,39.44,21.34,31.1,88.1,71.24,2018,Asia
Austria,190.37,95.66,80.75,80.91,71.52,9.66,26.27,21.9,62.13,2017,Europe
Germany,189.74,124.88,67.97,76.74,65.5,7.46,30.55,27.05,57.97,2017,Europe
Denmark,184.92,98.76,78.87,75.45,83.02,8.2,28.42,25.97,64.24,2017,Europe
New Zealand,184.74,89.87,61.22,70.58,80.77,8.14,30.23,20.03,85.41,2017,Oceania
Spain,183.65,87.87,68.72,76.65,54.98,8.26,32.63,37.46,88.04,2017,Europe
Finland,182.93,114.97,75.37,74.85,73.06,7.6,34.92,13.38,35.83,2017,Europe
United States of America,179.73,123.17,51.24,68.22,75.42,3.26,34.58,31.19,67.95,2017,Americas
Portugal,178.43,62.72,64.61,70.31,49.19,8.85,30.44,28.91,92.19,2017,Europe
Australia,176.54,101.94,57.58,74.25,80.66,9.24,34.73,24.58,72.79,2017,Oceania
Slovenia,175.45,78.23,75.95,64.35,53.24,8.34,26.48,26.37,60.5,2017,Europe
Netherlands,175.23,86.52,70.11,82.5,72.47,8.52,33.9,27.62,61.87,2017,Europe
Switzerland,173.54,95.35,77.55,71.04,122.06,14.04,28.3,20.77,69.32,2017,Europe
United Kingdom,172.87,96.85,58.81,74.28,69.49,10,34.6,34.88,78.91,2017,Europe
Sweden,172.74,107.23,53.35,70.64,75.88,11.77,31.6,17.87,59.13,2017,Europe
Estonia,171.09,68.48,77,71.3,49.5,10.54,26.71,17.71,44.56,2017,Europe
Croatia,170.63,60.71,72.2,65.49,48,10.91,28.45,33.34,82.02,2017,Europe
Canada,167.18,108.01,60.75,69.23,70.16,6.4,36.24,26.54,44.31,2017,Americas
Ireland,166.9,103.52,54.23,53.33,76.98,7.02,35.01,27.18,70.18,2017,Europe
Cyprus,166.64,95.92,67.54,54.23,54.07,5.21,20.32,54.77,71.01,2017,Asia
Norway,165.93,105.58,54.31,74.19,106.31,7.9,31.32,19.45,49.32,2017,Europe
Czech Republic,165.41,76.22,69.82,74.09,41.22,10.7,31.98,41.04,65.32,2017,Europe
South Korea,162.49,102.38,74.73,83.2,75.41,12.38,34.18,52.73,61.2,2017,Asia
Belgium,160.52,91.02,55.49,78.92,75.36,6.96,36.26,48.92,75.16,2017,Europe
France,160.25,87.29,56.34,78.62,74.89,11.58,35.81,40.15,73.91,2017,Europe
Israel,157.88,94.47,70.99,74.78,77.74,10.87,36.52,61.71,81.01,2017,Asia
Slovakia,152.55,64.75,69.82,62.63,44.9,9.85,36.03,43.51,65.06,2017,Europe
Poland,150.21,71.75,68.47,61.46,38.15,10.12,34.55,50.33,62.53,2017,Europe
Taiwan,150.08,118.57,82.76,81.14,61.38,12.87,32.69,62.91,24.48,2017,Asia
Greece,148.32,58.24,59.68,53.92,55.87,8.33,31.6,52.05,87.25,2017,Europe
Japan,147.49,102.52,79.11,78.63,85.28,12.68,46.81,41.01,31.91,2017,Asia
Saudi Arabia,146.41,138.05,76.35,60.41,48.37,2.85,36.31,74.18,17.96,2017,Asia
South Africa,144.72,98.96,24.28,61.72,43.12,3.58,42.98,63.56,88.74,2017,Africa
Romania,143.04,53.44,72.05,53.11,35.63,10.79,31.97,50.9,64.45,2017,Europe
Italy,142.52,71.83,55.34,66.31,83.7,12.39,36.38,51.57,82.6,2017,Europe
Argentina,139.59,58.4,37.37,73.3,52.57,12.07,37.95,53.33,90.67,2017,Americas
United Arab Emirates,139.27,116.77,79.34,60.49,67.98,5.6,35.05,58.52,8.86,2017,Asia
Bosnia And Herzegovina,139.14,51.29,59.03,61.49,35.05,11.35,26.63,60.69,73.29,2017,Europe
Hungary,138.82,47.52,61.61,53.46,42.77,11.2,33.09,43.99,66.49,2017,Europe
Bulgaria,138.2,51.4,59.82,54.03,36.49,9.07,27.92,63.12,77.05,2017,Europe
Chile,136.2,61.28,52.5,60.97,50.09,10.67,35.7,67.67,89.39,2017,Americas
Serbia,133.43,40.8,61.38,53.86,33.79,17.87,29.93,55.29,82.66,2017,Europe
Qatar,132.37,111.28,84.3,66.14,69.2,6.19,32.97,73.29,9.26,2017,Asia
Lithuania,130.28,51.67,59.97,68.74,46.73,14.19,28,34.27,25.04,2017,Europe
Turkey,129.63,55.64,58.91,71.68,38.6,8.87,47.58,70.46,73.19,2017,Asia
Mexico,129.06,60.08,49.68,70.11,29.81,6.94,41.66,66.74,60.74,2017,Americas
Belarus,119.23,36.43,77.74,53.76,33.84,18.73,27.66,39.64,20.07,2017,Europe
Jordan,117.47,42.27,56.86,71.92,59.22,7.96,47.76,85.73,88.42,2017,Asia
North Macedonia,116.42,39.85,61.34,63.46,30.93,14.67,33.79,83.38,75.54,2017,Europe
Colombia,115.38,37.63,48.31,65.79,34.45,19.43,43.77,63.9,81.34,2017,Americas
Lebanon,106.18,53.61,50.84,64.28,61.65,13.95,36.15,85.11,69.39,2017,Asia
India,101.52,76.73,56.04,69.18,25.08,10.28,46.38,76.53,9.3,2017,Asia
Iran,97.17,43.18,49.1,51.55,38.26,13.5,49.7,82.51,71.48,2017,Asia
Brazil,96.15,42.38,29.38,51.7,53.07,16.96,46.39,61.17,70.76,2017,Americas
Hong Kong,94.45,81.45,79.32,67.99,79.96,36.15,42.22,69.9,29.73,2017,Asia
Pakistan,93.41,39.95,45.62,59.05,27.18,12.09,38.69,80.08,42.54,2017,Asia
Egypt,91.81,29.39,47.14,43.73,22.36,10.66,48.84,88.88,75.59,2017,Africa
China,90.95,67.84,66.1,62.25,44.76,23.29,43.87,88.96,38.7,2017,Asia
Sri Lanka,88.99,30.28,65.43,80.04,33.47,17.49,47.19,61.9,2.4,2017,Asia
Ukraine,87.49,26.93,48.73,49.81,26.22,22.87,39.16,67.26,49.94,2017,Europe
Singapore,86.5,92.7,83.42,69.87,82.41,21.63,43.39,37.04,-71.47,2017,Asia
Russian Federation,85.93,48.27,53.95,56.4,42.01,13.55,48.57,63.04,10.69,2017,Europe
Indonesia,62.02,27.61,50.32,64.8,41.11,21.03,49.44,76.41,9.62,2017,Asia
Thailand,57.21,34.28,50.22,80.66,43.71,24.43,43.56,73.23,-20.21,2017,Asia
Philippines,56.87,36,60.23,69.16,34.71,16.91,45.14,70.25,-44.1,2017,Asia
Malaysia,51.65,73.34,35.25,65.99,40.24,9.53,39.4,67.08,-79.43,2017,Asia
Vietnam,36.12,24.77,47.04,47.87,40.11,26.76,33,88.1,-12.87,2017,Asia
Venezuela,0,3.35,14.72,36.9,38.3,202.07,46.24,72.9,91.17,2017,Americas
Switzerland,208.54,178.74,74.27,68.88,123.1,8.57,28.73,23.02,70.5,2016,Europe
Denmark,206.49,142.14,74.33,81.89,84.88,5.85,25.64,29.93,70.65,2016,Europe
New Zealand,201.06,115.47,63.63,72.6,78.17,6.28,31.1,19.04,88.35,2016,Oceania
Germany,199.7,147.61,67.05,75.85,65.54,7.13,29.07,29.91,63.02,2016,Europe
Australia,198.79,147.25,56.88,73.71,78.45,8.43,34.65,22.88,77.33,2016,Oceania
Austria,192.4,120.46,75.94,77.78,66.59,9.52,26.79,30.77,63.76,2016,Europe
Netherlands,192.4,129.34,68.53,70.43,72.12,5.87,35.51,32.79,76.28,2016,Europe
Norway,188.9,125.75,69.89,74.23,99.8,7.36,29.48,18.21,56.33,2016,Europe
Spain,186.41,105.31,68.23,75.89,56.11,8.06,30.52,46.58,90.8,2016,Europe
Sweden,185.81,128.22,56.88,74.33,75.7,11.19,32.05,18.3,61.8,2016,Europe
Finland,184.01,132.93,71.88,74.36,75.25,7.73,32.89,17.84,32.56,2016,Europe
United States of America,183.96,139.17,51.13,67.76,74.08,3.37,33.35,34.94,67.57,2016,Americas
Portugal,181.18,75.47,64.87,69.03,49.83,8.43,30.56,31.85,91.7,2016,Europe
United Kingdom,180.25,120,56.87,74.03,81.03,9.28,35.53,35.02,81.6,2016,Europe
Canada,177.23,134.81,60.8,68.62,64.82,6.14,37.79,29.48,46.23,2016,Americas
Japan,176.06,117.55,80.66,80.42,81.25,20.17,48.35,34.04,79.64,2016,Asia
Slovenia,175.93,89.76,73.73,58.47,52.19,9.72,25,28.2,62.46,2016,Europe
France,173.56,118.51,55.94,82.25,75.3,11.93,31.98,46.31,78.3,2016,Europe
Croatia,172.39,67.89,70.49,59.96,48.2,11.88,30.03,30.42,85.64,2016,Europe
Ireland,171.92,125.66,51.61,50.38,78.03,8.51,32.31,30.85,73.07,2016,Europe
South Korea,170.29,120.64,85.69,78.97,73.18,14.87,30.93,49.65,51.35,2016,Asia
Czech Republic,167.38,89.99,67.94,72.35,41.8,10.33,32.48,42.49,63.48,2016,Europe
Israel,166.63,115.54,69.37,76.07,75.75,10.64,37.76,61.46,81.89,2016,Asia
Greece,165.43,79.27,61.54,59.17,54.4,7.38,29.09,47.22,87.14,2016,Europe
Belgium,162.29,106.69,54.81,78.06,75.44,6.58,36.19,56.61,76.97,2016,Europe
Italy,159.28,105.67,53.78,67.76,68.77,10.37,36.49,56.56,86.19,2016,Europe
Saudi Arabia,159.18,167.86,74.8,65.09,47.6,2.78,38.7,72.2,16.77,2016,Asia
South Africa,156.7,126.1,21.57,59.58,34.75,3.34,43.18,63.29,91.42,2016,Africa
Poland,153.61,80.77,68.59,60.01,38.53,10.95,34.51,49.87,64.33,2016,Europe
Chile,147.26,78.4,58,61.05,43.88,9.88,33.81,67.21,85.68,2016,Americas
Bosnia And Herzegovina,146.7,60.64,57.54,60.52,34.59,10.94,23.41,57.95,75.31,2016,Europe
Romania,146.13,61.9,70.28,51.43,34.8,10.56,33.29,50.5,66.96,2016,Europe
United Arab Emirates,144.09,136.43,76.92,58.2,66.09,5.43,33.69,59.54,5.91,2016,Asia
Bulgaria,141.61,59.19,58.58,50.93,36.36,8.8,28.66,60.35,77.8,2016,Europe
Hungary,140.74,56.3,58.07,52.07,41.29,9.81,31.78,46.7,66.89,2016,Europe
Argentina,138.48,74.92,36.72,73.73,64.09,12.22,42.36,58.46,91.7,2016,Americas
Serbia,138.26,49.62,56.72,55.88,33.56,16.59,28.37,55.14,83.89,2016,Europe
Turkey,137.31,64.12,60.57,73.03,45.07,8.07,48.05,65.75,74.22,2016,Asia
Mexico,137.01,76.51,49.2,68.13,35.01,6.21,37.06,64.64,58.78,2016,Americas
Lithuania,134.33,61.25,56.85,67.38,45.56,12.9,30.24,30.94,24.42,2016,Europe
Colombia,128.46,45.99,51.49,73.22,29.25,16.29,44.24,64.44,84.51,2016,Americas
North Macedonia,115.03,46.74,61.98,59.99,31.05,15.52,40.68,85.29,80.55,2016,Europe
India,109.28,89.65,53.41,66.47,24.14,10.54,45.98,77.02,19.66,2016,Asia
Hong Kong,108.33,102.32,79.15,74.3,81.48,37.57,46.4,67.17,39.9,2016,Asia
Brazil,101.02,48.69,28.77,51.09,38.88,17.95,46.12,61.18,72.6,2016,Americas
China,99.03,77.42,67.92,61.2,48.1,24.98,44.09,85.54,46.59,2016,Asia
Iran,96.93,47.73,47.63,49.83,41.12,14.78,48.15,84.21,74.61,2016,Asia
Pakistan,93.99,43.34,43.37,61.27,26.69,15.27,36.85,76.64,41.17,2016,Asia
Singapore,93.09,110.5,84.19,69.06,83.67,23.17,43.43,38.83,-66.63,2016,Asia
Egypt,88.79,40.3,43.47,46.58,36.71,10.76,50.85,96.05,79.72,2016,Africa
Russian Federation,88.31,57.42,52.69,54.15,38.48,12.84,49.13,64.49,10.87,2016,Europe
Ukraine,85.56,29.66,51.38,49.69,28.56,26.16,39.95,67.84,50.4,2016,Europe
Indonesia,72.19,35.51,53.03,62.56,36.33,19.48,41.4,75.14,7.98,2016,Asia
Philippines,65.83,42.86,62.39,72.25,34.73,19.24,45.97,73.12,-26.98,2016,Asia
Thailand,63.83,40.06,57.44,80.8,40.02,24.38,43.09,71.51,-23.25,2016,Asia
Malaysia,63.8,96.34,31.45,66.45,37.47,9.07,39.77,67.53,-71.17,2016,Asia
Switzerland,222.94,146.51,73.23,66.31,126.03,7.28,25.63,24.07,,2015,Europe
Germany,195.94,111.84,71.51,75.61,76.27,6.61,31.08,28.32,,2015,Europe
Sweden,193.86,110.95,57.91,76.29,82.91,9.25,26.9,15.14,,2015,Europe
United States of America,192.49,126.09,49.99,67.75,76.53,2.62,35.96,31.45,,2015,Americas
Finland,190.25,101.17,70.45,69.37,89.68,7.01,33.17,14.91,,2015,Europe
Denmark,190.18,105.7,74.29,79.28,100.6,5.02,27.85,31.79,,2015,Europe
Austria,182.62,104.55,73.75,78.42,76.87,9.6,25.86,33.96,,2015,Europe
Australia,180.81,110.39,57.84,71.85,99.32,7.13,36.25,21.63,,2015,Oceania
Canada,177.63,105.07,62.54,69.6,81.8,5.52,38.88,27.3,,2015,Americas
New Zealand,175.51,90.99,60.24,72.61,93.71,5.78,28.1,17.61,,2015,Oceania
Norway,175.09,96.3,68.81,75.46,118.59,7.74,25.3,23.7,,2015,Europe
Saudi Arabia,169.37,126.19,65.43,59.02,50.35,3.12,26.14,71.02,,2015,Asia
Japan,168.28,98.21,79.76,87.07,80.36,9.24,51.05,38.22,,2015,Asia
Netherlands,166.76,102.02,64.59,67.23,85.98,6.22,35.45,34.97,,2015,Europe
Turkmenistan,157.09,59.75,82.14,77.22,38.12,12.96,11.75,28.45,,2015,Asia
United Kingdom,156.9,98.12,57.99,73.88,92.19,8.63,34,33.95,,2015,Europe
Cyprus,154.91,71.05,68.44,78.36,72.52,7.38,19,32.88,,2015,Asia
United Arab Emirates,153.68,104.59,77.78,55.6,67.16,6.16,29.9,61.34,,2015,Asia
Ireland,148.85,95.72,50.93,49.53,92.09,6.07,32.6,27.97,,2015,Europe
Qatar,144.89,113.02,78.96,75.86,74,6.56,29.27,87.73,,2015,Asia
Estonia,144.59,51.44,71.87,73.08,61.2,11.65,22.44,15.53,,2015,Europe
France,139.31,92.62,50.29,82.58,88.37,9.7,28.6,45.94,,2015,Europe
Belgium,135.95,86.16,57.96,77.86,87.22,6.49,26.69,53.84,,2015,Europe
Spain,134.91,76.71,66.15,73.21,65.7,9.56,28.91,46.3,,2015,Europe
Slovenia,134.49,64.16,71.29,53.93,65.15,10.61,18.82,31.45,,2015,Europe
Portugal,129.16,58.22,64.16,65.62,58.22,8.32,28.2,32.61,,2015,Europe
Czech Republic,127.53,68.07,67.11,67.24,48.5,10.59,31.47,42.87,,2015,Europe
Puerto Rico,125.69,94.43,32.94,58.74,73.5,4.54,32,48.03,,2015,Americas
Kuwait,123.39,85.7,56.49,66.57,92.97,6.12,25,59.63,,2015,Asia
Israel,120.43,88.18,69.6,76.35,79.29,10.72,41.25,65.21,,2015,Asia
South Korea,120.03,85.83,82.01,78.15,82.9,11.01,31.33,77.11,,2015,Asia
Lithuania,112.85,46.86,63.31,70.11,52.76,12.87,31.33,29.6,,2015,Europe
Croatia,112.34,50.47,70.66,57.26,58.92,12.48,30.5,32.76,,2015,Europe
Singapore,111.29,75.4,82.41,66.14,93.61,21.41,44.07,40.4,,2015,Asia
South Africa,110.92,101.78,21.56,60.09,45.58,3.14,42.98,65.19,,2015,Africa
Poland,109.74,63.49,67.01,58.03,45.11,10.56,34.67,50.55,,2015,Europe
Slovakia,109.09,56.05,66.66,57.34,51.6,8.58,30.4,47.94,,2015,Europe
Italy,100.99,79.35,52.5,65.78,82.72,11.69,35.91,57.75,,2015,Europe
Latvia,99.04,44.39,62.78,67.13,55.94,12.19,24,43.43,,2015,Europe
Greece,94.66,51.89,58.65,56.73,68.88,9.67,33.18,44.87,,2015,Europe
Hungary,93.07,46.85,58.24,51.58,48.9,8.58,30.12,46.25,,2015,Europe
Uruguay,93.06,44.87,52.83,67.92,68.55,11.23,45,31.72,,2015,Americas
Taiwan,92.5,69.9,78.12,84.29,57.06,24.97,28.25,67.65,,2015,Asia
Panama,89.27,43.34,49.92,82.14,55.16,10.79,28.12,50.91,,2015,Americas
Malaysia,85.32,73.54,30.03,69.14,45.97,8.35,39.4,64.73,,2015,Asia
Mexico,84.97,59.51,46.16,67.79,41.26,6.26,36.89,68.83,,2015,Americas
Bahrain,84.06,59.69,60.03,84.44,56.17,7.89,27,87.36,,2015,Asia
Romania,83.63,40.62,70.28,46.57,42.39,11.81,30.69,50.55,,2015,Europe
Hong Kong,82.96,74.93,80.76,80.6,75.23,30.09,46.25,59.5,,2015,Asia
Turkey,82.55,53.63,63.6,74,49.55,6.7,46.32,74.31,,2015,Asia
India,78.6,65.79,53.45,66.86,26.27,10.06,45.24,77.72,,2015,Asia
Argentina,77.01,59.38,37.6,75.18,67.12,11.59,41.39,55.88,,2015,Americas
Bosnia And Herzegovina,73.45,44.74,54.18,52.08,42.3,12.5,21.9,58.54,,2015,Europe
Belarus,72.48,35.82,69.5,45.39,50.2,16.36,30.57,45.12,,2015,Europe
Bulgaria,68.3,39.88,56.55,58.47,43.57,9.42,33.43,63.96,,2015,Europe
Chile,65.48,55.11,54.99,58.55,53.21,10.84,40.83,72.4,,2015,Americas
Georgia,64.96,26.21,77.99,62.59,39.56,15.17,38,58.79,,2015,Asia
Serbia,60.34,39.15,56.57,54.12,43.29,17.07,27.79,56.6,,2015,Europe
Sri Lanka,49.87,28.24,50.04,74.29,41.66,14.29,30.83,65.72,,2015,Asia
Armenia,49.07,27.74,70.86,48.33,40.68,13.39,26.09,73.03,,2015,Asia
Colombia,47.71,36.08,43.12,68.92,38.92,14.35,44.55,61.41,,2015,Americas
Thailand,47.37,38.75,62.94,82.47,46.52,20.76,42.36,72.81,,2015,Asia
Kazakhstan,47,43.48,53.32,58.86,54.27,12.73,41.8,73.69,,2015,Asia
Ecuador,44.52,28,45.96,63.08,45.57,14.67,45.67,53.2,,2015,Americas
Dominican Republic,43.6,28.2,32.28,78.7,55.95,11.45,27.5,65.32,,2015,Americas
Jordan,38.61,38.67,54.49,69.71,61.38,8.58,51.4,85.64,,2015,Asia
Philippines,36.95,35.41,56.89,71.66,40,18.52,45.5,74.17,,2015,Asia
Lebanon,32.81,50.17,48.02,65.78,67.61,16.21,32.43,89.11,,2015,Asia
Brazil,29.84,41.16,31.05,52.15,55.33,16.7,46.34,58.03,,2015,Americas
North Macedonia,28.85,35.48,63.94,35.12,37.41,15.38,33.17,82.31,,2015,Europe
Russian Federation,28.38,38.86,48.67,51.8,61.91,14.6,47.08,72.77,,2015,Europe
Indonesia,22.7,26.01,52.78,66.09,39.35,18.93,41.63,74.41,,2015,Asia
Pakistan,21.82,33.21,38.84,51.16,30.71,14.32,25.14,83.73,,2015,Asia
Ukraine,20.1,27.87,50.64,44.27,41.29,17.38,40.04,69.85,,2015,Europe
China,15.99,48.64,58.25,58.74,48.89,26.42,37.48,89.36,,2015,Asia
